Radius (nanometer),g(r) (chain O - water O)
0.9925,0.9321356191604646
0.9975,0.9375501235794432
1.0025,0.931573388885058
1.0074999,0.9367099119656116
1.0125,0.9372844900516354
1.0174999,0.938708695258341
1.0225,0.9385152181798716
1.0274999,0.9406703824834554
1.0325,0.9380077705550539
1.0374999,0.9412219697816256
1.0425,0.9393029589709616
1.0474999,0.94019256558158
1.0525,0.9408820029768189
1.0574999,0.942161090103549
1.0625,0.9455873142918765
1.0675001,0.9426539169914947
1.0725,0.9446030587598451
1.0775001,0.9464012169895426
1.0825,0.9482742807087782
1.0875001,0.9491996294990321
1.0925,0.9493942541235663
1.0975001,0.9484132330107397
1.1025,0.9501461527664
1.1075001,0.951149370029012
1.1125,0.9498386266321527
1.1175001,0.9513833926933272
1.1225,0.9514795786167098
1.1275,0.9530867925452203
1.1324999,0.9553342017863387
1.1375,0.9557110500400506
1.1424999,0.9543018289265787
1.1475,0.9519368719124811
1.1524999,0.9531094669369309
1.1575,0.9554667910958143
1.1624999,0.9559363334955322
1.1675,0.9546100765168686
1.1724999,0.955837442242872
1.1775,0.9552861716349348
1.1824999,0.9572306969607105
1.1875,0.9570397332692041
1.1925001,0.9559416854159164
1.1975,0.9566191942876691
1.2025001,0.9560130860076982
1.2075,0.9601226721029478
1.2125001,0.9588233562306258
1.2175,0.956446983194041
1.2225001,0.9580498914175442
1.2275,0.9585996827476156
1.2325001,0.9568173986668372
1.2375,0.9560944070123447
1.2425001,0.9559499004605622
1.2475,0.9570782077543701
1.2525,0.9606398511973959
1.2574999,0.9602434106190753
1.2625,0.96008976025623
1.2674999,0.9599747176241348
1.2725,0.9614027043545685
1.2774999,0.9602553340526822
1.2825,0.9611053778620676
1.2874999,0.9606421847613141
1.2925,0.9624492543066155
1.2974999,0.9613509484099315
1.3025,0.9601827903273706
1.3074999,0.962986767367516
1.3125,0.9640657538268415
1.3175001,0.9646319103172735
1.3225,0.9636897403343461
1.3275001,0.961962866927251
1.3325,0.9672477443240047
1.3375001,0.9674710741524959
1.3425,0.967528809034686
1.3475001,0.9685471478521532
1.3525,0.9674098421381688
1.3575001,0.9684317236102445
1.3625,0.9668179483872399
1.3675001,0.9683985544986065
1.3725,0.9689623815675937
1.3775,0.9699107042398635
1.3824999,0.9692835659215329
1.3875,0.9705086862592802
1.3924999,0.97088331531311
1.3975,0.9681318710506814
1.4024999,0.9692250649480263
1.4075,0.9690712606115833
1.4124999,0.9704785858841263
1.4175,0.9703687251222142
1.4224999,0.9720490241616702
1.4275,0.9721441135475749
1.4324999,0.9728687899407478
1.4375,0.9735321530325841
1.4425001,0.9711373540351612
1.4475,0.9741273835223171
1.4525001,0.9725916552416887
1.4575,0.9740206808014907
1.4625001,0.972072700032597
1.4675,0.9733104298616307
1.4725001,0.9751069049263141
1.4775,0.9758669449488676
1.4825001,0.9757847766485065
1.4875,0.9753193737783704
1.4925001,0.975824413177861
1.4975,0.9743633302145592
1.5025,0.975725307760995
1.5074999,0.9745777788430111
1.5125,0.9765986129235974
1.5174999,0.9757128015731453
1.5225,0.9757259900964825
1.5274999,0.9763427263676339
1.5325,0.9766346586311119
1.5374999,0.9758035891114231
1.5425,0.9770436573716569
1.5474999,0.9761805672701515
1.5525,0.9776391984579315
1.5574999,0.9786065802404603
1.5625,0.9774517454604537
1.5675001,0.9771413004731376
1.5725,0.9783620170906127
1.5775001,0.9784250982952899
1.5825,0.9786623223982858
1.5875001,0.9762619132343713
1.5925,0.9797620899795338
1.5975001,0.979820929744475
1.6025,0.9797779687976109
1.6075001,0.9806250251325067
1.6125,0.9814953336519586
1.6175001,0.9808351708705105
1.6225,0.9802618618893785
1.6275,0.9786458923987793
1.6324999,0.9823527125372499
1.6375,0.9817998559697353
1.6424999,0.9810902670773315
1.6475,0.9807149957879768
1.6524999,0.9824605228492624
1.6575,0.9824035520971974
1.6624999,0.9826566175436423
1.6675,0.9827369631732842
1.6724999,0.9821274914879571
1.6775,0.9840735281698182
1.6824999,0.9809516708647733
1.6875,0.9833159937709643
1.6925001,0.9823178441867825
1.6975,0.9838831302475577
1.7025001,0.9822926343376698
1.7075,0.9837845904513468
1.7125001,0.980187647560082
1.7175,0.9834998457939785
1.7225001,0.9848204015970519
1.7275,0.9839434665398895
1.7325001,0.9850517534026461
1.7375,0.983338878520451
1.7425001,0.9856183216214225
1.7475,0.9856804465980722
1.7525,0.9845121845912315
1.7574999,0.985972628782268
1.7625,0.9841060339458836
1.7674999,0.9854617093240603
1.7725,0.9843724781586611
1.7774999,0.9858499869165688
1.7825,0.9838146278148074
