Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
1.3275001,0.8634381702098455,0.861278479729993
1.3325,0.865868496078753,0.8639161749803007
1.3375001,0.8678003211146257,0.8659384830577044
1.3425,0.8695281689940121,0.8681203730014967
1.3475001,0.8710653178562552,0.8716931559436518
1.3525,0.8715027509858702,0.8713894416990141
1.3575001,0.8713873553984653,0.8734255092112044
1.3625,0.8737848717072733,0.8743546832802354
1.3675001,0.8755651362212165,0.8730770349338044
1.3725,0.8778457461188012,0.8787829061255927
1.3775,0.8815403079354034,0.8804423210839372
1.3824999,0.8812218968606753,0.8828205285815018
1.3875,0.8806282551218481,0.8832976131127106
1.3924999,0.8870636171871698,0.8838328647736371
1.3975,0.8849830456138745,0.8856143320314958
1.4024999,0.8880428638552988,0.8886078898798797
1.4075,0.885960027658572,0.8847008929281117
1.4124999,0.8877939945873483,0.8887540545910985
1.4175,0.8913895447330159,0.8900289460696039
1.4224999,0.891503654662537,0.89053231578227
1.4275,0.8928702095929476,0.8927176364669062
1.4324999,0.8946568418353302,0.8928317472418138
1.4375,0.8960764241630109,0.8960798828959495
1.4425001,0.8965110682419578,0.8957588305279705
1.4475,0.8996058050349375,0.9003750283421905
1.4525001,0.8992127029578981,0.8985504024354366
1.4575,0.9026622700297953,0.8994272469941349
1.4625001,0.9018993299866954,0.9007030529395407
1.4675,0.9029622529459388,0.9034833111005507
1.4725001,0.9050440555498785,0.9072938058523174
1.4775,0.9074856685481968,0.9049138905580367
1.4825001,0.9088372330307295,0.9054030996021661
1.4875,0.9069370991017618,0.9052606247370415
1.4925001,0.9074350257197902,0.9086334309744843
1.4975,0.9088742516544577,0.9092551225340503
1.5025,0.9119167621584582,0.9097100459607219
1.5074999,0.9126700120828901,0.9134892976886435
1.5125,0.9144363051233593,0.9118603269980843
1.5174999,0.9142112688651621,0.9148242575126512
1.5225,0.9173390232231604,0.9155229041255234
1.5274999,0.9164876512122587,0.9165519790329595
1.5325,0.9195441651690369,0.9167367335780706
1.5374999,0.9197621283988491,0.9175277476396944
1.5425,0.9209622018934256,0.9190126400473122
1.5474999,0.9223059289736389,0.9210658412348199
1.5525,0.9259271168741198,0.9206873292197022
1.5574999,0.9268072603096419,0.9229489824141933
1.5625,0.9246432841733168,0.9230112240725206
1.5675001,0.9261264045684324,0.9230400583235082
1.5725,0.9290444817046486,0.9248158108356259
1.5775001,0.92951434105671,0.9252836882647224
1.5825,0.9309636337090791,0.9275102769026707
1.5875001,0.9341453585671264,0.9285795759352221
1.5925,0.9329798181959895,0.9294598149549937
1.5975001,0.9345538766030439,0.9293082233509113
1.6025,0.9361019866090086,0.9301625728390978
1.6075001,0.9366144348459841,0.9325333412622625
1.6125,0.9384289692061952,0.9333285802087624
